Titus;12.5;345;120.5;ASSAULT;BOLTGUN;CHAIN_SWORD;Ultramarines;Ultramar;250;Macragge
Cato Sicarius;8.3;500;95.2;TACTICAL;MELTAGUN;POWER_SWORD;Ultramarines;Ultramar;180;Macragge
Varro Tigurius;15.0;200;110.0;HELIX;FLAMER;MANREAPER;Ultramarines;Ultramar;90;Macragge
Ragnar Blackmane;20.0;600;150.7;ASSAULT;HEAVY_FLAMER;POWER_FIST;Space Wolves;Fenris;300;Fenris
Arjac Rockfist;5.0;400;200.0;TACTICAL;BOLTGUN;CHAIN_AXE;Space Wolves;Fenris;150;Fenris
Mephiston;18.5;700;180.3;HELIX;MELTAGUN;POWER_SWORD;Blood Angels;Baal;220;Baal Prime
Lemartes;9.0;250;130.5;ASSAULT;FLAMER;MANREAPER;Blood Angels;Baal;170;Baal Secundus
Azrael;14.0;300;145.0;TACTICAL;HEAVY_FLAMER;CHAIN_SWORD;Dark Angels;Caliban;280;The Rock
Ezekiel;7.5;550;115.5;HELIX;BOLTGUN;POWER_FIST;Dark Angels;Caliban;130;The Rock
Kayvaan Shrike;11.0;420;160.0;ASSAULT;MELTAGUN;CHAIN_AXE;Raven Guard;Deliverance;210;Kiavahr
